gender,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,productivity,final_result
1,3,95.0,2,0,240,0,446.7275549420935,1
0,3,25.0,1,0,60,0,258.2454675299166,1
0,2,35.0,1,0,60,1,22.733686569138165,0
0,2,55.0,1,0,60,0,253.5246742966653,1
0,1,55.0,0,0,60,0,260.4188530084383,1
1,2,85.0,1,0,60,0,299.7102614591562,1
1,3,35.0,0,0,60,0,325.73372716965093,1
0,2,95.0,0,0,120,0,221.85421184014157,1
0,2,75.0,0,0,90,0,249.14971616267002,1
1,1,75.0,1,0,60,0,271.72644180728304,1
0,2,25.0,0,0,60,0,262.93477583270044,1
1,1,65.0,1,0,60,0,271.6357946602928,1
0,3,55.0,0,0,60,0,266.4047666468859,1
1,1,45.0,1,0,60,0,289.55685834986804,1
0,2,75.0,0,0,60,0,69.72005768103479,0
0,2,65.0,1,0,60,0,398.082052706255,1
1,2,15.0,1,0,150,0,110.70320404130287,0
1,2,35.0,1,0,60,0,339.58305612642533,1
1,2,35.0,0,0,60,0,206.75292237151538,1
1,3,5.0,0,0,60,0,230.97485190330715,1
1,1,75.0,1,0,60,0,63.084262953231885,0
1,1,75.0,1,0,60,0,592.1769685402238,1
1,2,25.0,0,0,60,0,268.5444790929484,1
1,1,85.0,1,0,60,0,358.14050088271784,1
1,2,35.0,0,0,60,0,201.13360559015342,1
1,3,65.0,0,0,60,0,305.7272840113418,1
1,3,85.0,1,0,60,0,116.11819848019918,0
1,1,25.0,0,0,60,0,317.64897964200003,1
1,3,85.0,1,0,60,0,229.7104317763427,1
0,3,95.0,1,0,60,0,316.05281148134014,1
1,1,65.0,1,0,60,0,277.1202524303152,1
1,3,65.0,1,0,60,0,229.0952458759668,1
1,3,5.0,0,0,60,0,280.8190660725982,1
1,2,75.0,1,0,60,0,253.56831629606816,1
1,3,35.0,0,0,120,0,205.72649261605812,1
1,2,45.0,1,0,60,0,243.53435331163794,1
0,2,45.0,0,0,180,0,222.98842404128203,1
